year,month,value,date
1955,6,0.01,195506
1955,7,-0.19,195507
1955,8,0.14,195508
1955,9,-0.02,195509
1955,10,0.09,195510
1955,11,-0.29,195511
1955,12,-0.43,195512
1956,1,-0.4,195601
1956,2,-0.61,195602
1956,3,-0.42,195603
1956,4,-0.51,195604
1956,5,-0.42,195605
1956,6,-0.22,195606
1956,7,-0.22,195607
1956,8,-0.4,195608
1956,9,-0.41,195609
1956,10,-0.38,195610
1956,11,-0.41,195611
1956,12,-0.39,195612
1957,1,-0.32,195701
1957,2,-0.35,195702
1957,3,-0.3,195703
1957,4,-0.27,195704
1957,5,-0.07,195705
1957,6,0.12,195706
1957,7,-0.16,195707
1957,8,0.06,195708
1957,9,0.13,195709
1957,10,-0.04,195710
1957,11,0.19,195711
1957,12,0.63,195712
1958,1,0.77,195801
1958,2,0.39,195802
1958,3,0.12,195803
1958,4,0.11,195804
1958,5,0.18,195805
1958,6,-0.06,195806
1958,7,0.07,195807
1958,8,-0.01,195808
1958,9,-0.14,195809
1958,10,0,195810
1958,11,0.16,195811
1958,12,0.26,195812
1959,1,0.23,195901
1959,2,0.06,195902
1959,3,0.57,195903
1959,4,0.26,195904
1959,5,-0.07,195905
1959,6,0.19,195906
1959,7,0.11,195907
1959,8,0.05,195908
1959,9,0.13,195909
1959,10,-0.17,195910
1959,11,-0.33,195911
1959,12,0,195912
1960,1,0.07,196001
1960,2,0.66,196002
1960,3,-0.73,196003
1960,4,-0.22,196004
1960,5,-0.43,196005
1960,6,0.15,196006
1960,7,-0.09,196007
1960,8,0.03,196008
1960,9,0.08,196009
1960,10,0.02,196010
1960,11,-0.24,196011
1960,12,0.66,196012
1961,1,0.31,196101
1961,2,0.41,196102
1961,3,0.41,196103
1961,4,0.19,196104
1961,5,0.25,196105
1961,6,0.17,196106
1961,7,0.01,196107
1961,8,0.01,196108
1961,9,0.03,196109
1961,10,-0.22,196110
1961,11,0.06,196111
1961,12,-0.16,196112
1962,1,0.36,196201
1962,2,0.5,196202
1962,3,0.34,196203
1962,4,0.2,196204
1962,5,0.01,196205
1962,6,-0.14,196206
1962,7,-0.01,196207
1962,8,-0.04,196208
1962,9,0.02,196209
1962,10,0.17,196210
1962,11,0.19,196211
1962,12,0.35,196212
1963,1,0.17,196301
1963,2,0.91,196302
1963,3,0.04,196303
1963,4,-0.16,196304
1963,5,-0.18,196305
1963,6,-0.1,196306
1963,7,0.18,196307
1963,8,0.21,196308
1963,9,0.32,196309
1963,10,0.61,196310
1963,11,0.47,196311
1963,12,0.13,196312
1964,1,0.13,196401
1964,2,-0.19,196402
1964,3,-0.29,196403
